id,party_name,vehicle_no,tare_wt
316,Party_00316,MH16AB00316,6656.064
317,Party_00317,MH17AB00317,4876.605
318,Party_00318,MH18AB00318,8359.627
319,Party_00319,MH19AB00319,11800.313
320,Party_00320,MH20AB00320,14906.473
321,Party_00321,MH21AB00321,10048.256
322,Party_00322,MH22AB00322,4547.67
323,Party_00323,MH23AB00323,13883.788
324,Party_00324,MH24AB00324,3549.687
325,Party_00325,MH25AB00325,6403.699
326,Party_00326,MH26AB00326,5592.65
327,Party_00327,MH27AB00327,4150.432
328,Party_00328,MH28AB00328,10409.981
329,Party_00329,MH29AB00329,3042.026
330,Party_00330,MH30AB00330,12920.217
331,Party_00331,MH31AB00331,4820.442
332,Party_00332,MH32AB00332,6039.607
333,Party_00333,MH33AB00333,10096.097
334,Party_00334,MH34AB00334,5725.809
335,Party_00335,MH35AB00335,3538.501
336,Party_00336,MH36AB00336,12709.292
337,Party_00337,MH37AB00337,7156.32
338,Party_00338,MH38AB00338,2071.058
339,Party_00339,MH39AB00339,4380.317
340,Party_00340,MH40AB00340,8893.643
341,Party_00341,MH41AB00341,2130.167
342,Party_00342,MH42AB00342,5113.058
343,Party_00343,MH43AB00343,11553.065
344,Party_00344,MH44AB00344,8837.043
345,Party_00345,MH45AB00345,13885.483
346,Party_00346,MH46AB00346,4311.694
347,Party_00347,MH47AB00347,13558.748
348,Party_00348,MH48AB00348,14956.338
349,Party_00349,MH49AB00349,3648.098
350,Party_00350,MH50AB00350,11912.759
351,Party_00351,MH51AB00351,9040.283
352,Party_00352,MH52AB00352,4849.406
353,Party_00353,MH53AB00353,3742.31
354,Party_00354,MH54AB00354,7553.087
355,Party_00355,MH55AB00355,3746.419
356,Party_00356,MH56AB00356,12714.264
357,Party_00357,MH57AB00357,12485.151
358,Party_00358,MH58AB00358,10474.282
359,Party_00359,MH59AB00359,3180.721
360,Party_00360,MH60AB00360,6090.052
361,Party_00361,MH61AB00361,8676.304
362,Party_00362,MH62AB00362,4830.826
363,Party_00363,MH63AB00363,4264.31
364,Party_00364,MH64AB00364,14788.552
365,Party_00365,MH65AB00365,10794.593
366,Party_00366,MH66AB00366,12289.889
367,Party_00367,MH67AB00367,10394.419
368,Party_00368,MH68AB00368,6958.802
369,Party_00369,MH69AB00369,11852.383
370,Party_00370,MH70AB00370,5980.246
371,Party_00371,MH71AB00371,10166.759
372,Party_00372,MH72AB00372,12316.246
373,Party_00373,MH73AB00373,8977.917
374,Party_00374,MH74AB00374,5237.431
375,Party_00375,MH75AB00375,12426.241
376,Party_00376,MH76AB00376,14945.002
377,Party_00377,MH77AB00377,12585.737
378,Party_00378,MH78AB00378,12623.19
379,Party_00379,MH79AB00379,6883.859
380,Party_00380,MH80AB00380,12216.046
381,Party_00381,MH81AB00381,9478.865
382,Party_00382,MH82AB00382,4763.195
383,Party_00383,MH83AB00383,8652.73
384,Party_00384,MH84AB00384,9765.464
385,Party_00385,MH85AB00385,13062.163
386,Party_00386,MH86AB00386,11187.354
387,Party_00387,MH87AB00387,10964.501
388,Party_00388,MH88AB00388,10794.368
389,Party_00389,MH89AB00389,3181.327
390,Party_00390,MH90AB00390,3404.105
391,Party_00391,MH91AB00391,14315.24
392,Party_00392,MH92AB00392,6129.136
393,Party_00393,MH93AB00393,11615.577
394,Party_00394,MH94AB00394,7437.857
395,Party_00395,MH95AB00395,5827.688
396,Party_00396,MH96AB00396,6573.601
397,Party_00397,MH97AB00397,6895.715
398,Party_00398,MH98AB00398,3842.208
399,Party_00399,MH99AB00399,8659.056
400,Party_00400,MH00AB00400,5329.516
401,Party_00401,MH01AB00401,13842.408
402,Party_00402,MH02AB00402,5583.286
403,Party_00403,MH03AB00403,2094.652
404,Party_00404,MH04AB00404,6168.935
405,Party_00405,MH05AB00405,12085.723
406,Party_00406,MH06AB00406,14160.317
407,Party_00407,MH07AB00407,8807.419
408,Party_00408,MH08AB00408,5900.78
409,Party_00409,MH09AB00409,3279.15
410,Party_00410,MH10AB00410,10082.022
411,Party_00411,MH11AB00411,10685.78
412,Party_00412,MH12AB00412,8129.762
413,Party_00413,MH13AB00413,12874.864
414,Party_00414,MH14AB00414,3116.951
415,Party_00415,MH15AB00415,6515.989
416,Party_00416,MH16AB00416,10966.926
417,Party_00417,MH17AB00417,4005.015
418,Party_00418,MH18AB00418,10634.612
419,Party_00419,MH19AB00419,2492.138
420,Party_00420,MH20AB00420,10629.982
421,Party_00421,MH21AB00421,2613.035
422,Party_00422,MH22AB00422,12421.898
423,Party_00423,MH23AB00423,6432.897
424,Party_00424,MH24AB00424,10134.999
425,Party_00425,MH25AB00425,6590.782
426,Party_00426,MH26AB00426,9350.584
427,Party_00427,MH27AB00427,13782.295
428,Party_00428,MH28AB00428,7959.454
429,Party_00429,MH29AB00429,11551.179
430,Party_00430,MH30AB00430,4649.523
431,Party_00431,MH31AB00431,13303.198
432,Party_00432,MH32AB00432,10343.365
433,Party_00433,MH33AB00433,14204.482
434,Party_00434,MH34AB00434,6784.157
435,Party_00435,MH35AB00435,3170.409
436,Party_00436,MH36AB00436,2341.444
437,Party_00437,MH37AB00437,8748.072
438,Party_00438,MH38AB00438,8868.352
439,Party_00439,MH39AB00439,6807.833
440,Party_00440,MH40AB00440,5447.738
441,Party_00441,MH41AB00441,9384.383
442,Party_00442,MH42AB00442,3182.611
443,Party_00443,MH43AB00443,9498.146
444,Party_00444,MH44AB00444,14497.254
445,Party_00445,MH45AB00445,4778.116
446,Party_00446,MH46AB00446,12036.778
447,Party_00447,MH47AB00447,10174.692
448,Party_00448,MH48AB00448,14192.71
449,Party_00449,MH49AB00449,5974.821
450,Party_00450,MH50AB00450,9778.749
451,Party_00451,MH51AB00451,9399.238
452,Party_00452,MH52AB00452,11950.675
453,Party_00453,MH53AB00453,14854.591
454,Party_00454,MH54AB00454,4160.322
455,Party_00455,MH55AB00455,4724.703
456,Party_00456,MH56AB00456,8864.425
457,Party_00457,MH57AB00457,2251.384
458,Party_00458,MH58AB00458,12675.284
459,Party_00459,MH59AB00459,12896.02
460,Party_00460,MH60AB00460,6409.229
461,Party_00461,MH61AB00461,5059.532
462,Party_00462,MH62AB00462,4529.202
463,Party_00463,MH63AB00463,2301.296
464,Party_00464,MH64AB00464,9271.913
465,Party_00465,MH65AB00465,14661.666
466,Party_00466,MH66AB00466,10635.34
467,Party_00467,MH67AB00467,6284.655
468,Party_00468,MH68AB00468,6919.913
469,Party_00469,MH69AB00469,6153.68
470,Party_00470,MH70AB00470,6568.792
471,Party_00471,MH71AB00471,13533.257
472,Party_00472,MH72AB00472,14760.593
473,Party_00473,MH73AB00473,10916.963
474,Party_00474,MH74AB00474,10177.556
475,Party_00475,MH75AB00475,12069.886
476,Party_00476,MH76AB00476,6207.903
477,Party_00477,MH77AB00477,4174.418
478,Party_00478,MH78AB00478,6656.873
479,Party_00479,MH79AB00479,11893.951
480,Party_00480,MH80AB00480,3756.784
481,Party_00481,MH81AB00481,3344.102
482,Party_00482,MH82AB00482,13675.464
483,Party_00483,MH83AB00483,2371.913
484,Party_00484,MH84AB00484,4293.265
485,Party_00485,MH85AB00485,6387.066
486,Party_00486,MH86AB00486,5623.727
487,Party_00487,MH87AB00487,10324.607
488,Party_00488,MH88AB00488,11753.197
489,Party_00489,MH89AB00489,13733.326
490,Party_00490,MH90AB00490,5804.741
491,Party_00491,MH91AB00491,10511.902
492,Party_00492,MH92AB00492,10275.211
493,Party_00493,MH93AB00493,2210.906
494,Party_00494,MH94AB00494,7644.301
495,Party_00495,MH95AB00495,2300.201
496,Party_00496,MH96AB00496,5095.601
497,Party_00497,MH97AB00497,11544.999
498,Party_00498,MH98AB00498,2995.34
499,Party_00499,MH99AB00499,2058.466
500,Party_00500,MH00AB00500,2247.207
501,Party_00501,MH01AB00501,5037.356
502,Party_00502,MH02AB00502,14145.947
503,Party_00503,MH03AB00503,10825.901
504,Party_00504,MH04AB00504,5515.48
505,Party_00505,MH05AB00505,8410.649
506,Party_00506,MH06AB00506,13512.284
507,Party_00507,MH07AB00507,11396.021
508,Party_00508,MH08AB00508,14887.913
509,Party_00509,MH09AB00509,6889.662
510,Party_00510,MH10AB00510,9816.044
511,Party_00511,MH11AB00511,10170.148
512,Party_00512,MH12AB00512,2928.518
513,Party_00513,MH13AB00513,10542.364
514,Party_00514,MH14AB00514,9377.403
515,Party_00515,MH15AB00515,14224.4
516,Party_00516,MH16AB00516,10247.341
517,Party_00517,MH17AB00517,9445.009
518,Party_00518,MH18AB00518,4745.851
519,Party_00519,MH19AB00519,14962.322
520,Party_00520,MH20AB00520,7758.006
521,Party_00521,MH21AB00521,3285.753
522,Party_00522,MH22AB00522,11691.806
523,Party_00523,MH23AB00523,7190.323
524,Party_00524,MH24AB00524,5741.658
525,Party_00525,MH25AB00525,11913.169
526,Party_00526,MH26AB00526,5012.382
527,Party_00527,MH27AB00527,12226.889
528,Party_00528,MH28AB00528,5705.057
529,Party_00529,MH29AB00529,5593.845
530,Party_00530,MH30AB00530,7946.794
531,Party_00531,MH31AB00531,4271.037
532,Party_00532,MH32AB00532,11480.816
533,Party_00533,MH33AB00533,3326.638
534,Party_00534,MH34AB00534,9644.275
535,Party_00535,MH35AB00535,5773.142
536,Party_00536,MH36AB00536,6492.367
537,Party_00537,MH37AB00537,14036.035
538,Party_00538,MH38AB00538,8001.839
539,Party_00539,MH39AB00539,14626.758
540,Party_00540,MH40AB00540,9224.698
541,Party_00541,MH41AB00541,6180.373
542,Party_00542,MH42AB00542,11308.544
543,Party_00543,MH43AB00543,2236.97
544,Party_00544,MH44AB00544,8248.911
545,Party_00545,MH45AB00545,5944.127
546,Party_00546,MH46AB00546,6344.172
547,Party_00547,MH47AB00547,7826.559
548,Party_00548,MH48AB00548,2701.048
549,Party_00549,MH49AB00549,8937.607
550,Party_00550,MH50AB00550,12749.159
551,Party_00551,MH51AB00551,7139.281
552,Party_00552,MH52AB00552,2197.511
553,Party_00553,MH53AB00553,11935.433
554,Party_00554,MH54AB00554,12738.146
555,Party_00555,MH55AB00555,13548.869
556,Party_00556,MH56AB00556,9296.716
557,Party_00557,MH57AB00557,6869.918
558,Party_00558,MH58AB00558,3461.882
559,Party_00559,MH59AB00559,7402.558
560,Party_00560,MH60AB00560,5658.429
561,Party_00561,MH61AB00561,6368.516
562,Party_00562,MH62AB00562,2045.343
563,Party_00563,MH63AB00563,7760.463
564,Party_00564,MH64AB00564,10717.862
565,Party_00565,MH65AB00565,7438.652
566,Party_00566,MH66AB00566,11717.737
567,Party_00567,MH67AB00567,11979.674
568,Party_00568,MH68AB00568,4239.591
569,Party_00569,MH69AB00569,4250.043
570,Party_00570,MH70AB00570,14314.493
571,Party_00571,MH71AB00571,4852.099
572,Party_00572,MH72AB00572,12398.063
573,Party_00573,MH73AB00573,9059.07
574,Party_00574,MH74AB00574,9205.369
575,Party_00575,MH75AB00575,9859.375
576,Party_00576,MH76AB00576,2424.734
577,Party_00577,MH77AB00577,3590.58
578,Party_00578,MH78AB00578,6026.06
579,Party_00579,MH79AB00579,8391.713
580,Party_00580,MH80AB00580,13899.659
581,Party_00581,MH81AB00581,4441.186
582,Party_00582,MH82AB00582,4909.669
583,Party_00583,MH83AB00583,10391.965
584,Party_00584,MH84AB00584,8573.002
585,Party_00585,MH85AB00585,7649.297
586,Party_00586,MH86AB00586,5565.607
587,Party_00587,MH87AB00587,13854.508
588,Party_00588,MH88AB00588,12171.881
589,Party_00589,MH89AB00589,5132.265
590,Party_00590,MH90AB00590,2057.975
591,Party_00591,MH91AB00591,8312.979
592,Party_00592,MH92AB00592,14729.206
593,Party_00593,MH93AB00593,10069.832
594,Party_00594,MH94AB00594,13673.559
595,Party_00595,MH95AB00595,2735.604
596,Party_00596,MH96AB00596,10166.427
597,Party_00597,MH97AB00597,5743.35
598,Party_00598,MH98AB00598,4810.183
599,Party_00599,MH99AB00599,5799.29
600,Party_00600,MH00AB00600,2929.858
601,Party_00601,MH01AB00601,11721.149
602,Party_00602,MH02AB00602,12258.086
603,Party_00603,MH03AB00603,14197.775
604,Party_00604,MH04AB00604,6615.944
605,Party_00605,MH05AB00605,8745.459
606,Party_00606,MH06AB00606,5085.429
607,Party_00607,MH07AB00607,3428.493
608,Party_00608,MH08AB00608,14609.302
609,Party_00609,MH09AB00609,5036.297
610,Party_00610,MH10AB00610,14513.897
611,Party_00611,MH11AB00611,6352.991
612,Party_00612,MH12AB00612,9550.425
613,Party_00613,MH13AB00613,11547.49
614,Party_00614,MH14AB00614,8875.684
615,Party_00615,MH15AB00615,5818.386
616,Party_00616,MH16AB00616,4345.292
617,Party_00617,MH17AB00617,4359.781
618,Party_00618,MH18AB00618,11845.199
619,Party_00619,MH19AB00619,9619.671
620,Party_00620,MH20AB00620,12272.597
621,Party_00621,MH21AB00621,12776.917
622,Party_00622,MH22AB00622,10130.94
623,Party_00623,MH23AB00623,2635.609
624,Party_00624,MH24AB00624,2743.099
625,Party_00625,MH25AB00625,6784.408
626,Party_00626,MH26AB00626,8663.556
627,Party_00627,MH27AB00627,11391.263
628,Party_00628,MH28AB00628,2720.498
629,Party_00629,MH29AB00629,6302.024
630,Party_00630,MH30AB00630,12070.282
631,Party_00631,MH31AB00631,12488.579
632,Party_00632,MH32AB00632,4478.502
633,Party_00633,MH33AB00633,11695.526
634,Party_00634,MH34AB00634,14895.461
635,Party_00635,MH35AB00635,3371.02
636,Party_00636,MH36AB00636,12102.65
637,Party_00637,MH37AB00637,6718.227
638,Party_00638,MH38AB00638,10350.599
639,Party_00639,MH39AB00639,14617.264
640,Party_00640,MH40AB00640,11889.955
641,Party_00641,MH41AB00641,2858.459
642,Party_00642,MH42AB00642,13521.831
643,Party_00643,MH43AB00643,8934.493
644,Party_00644,MH44AB00644,7012.993
645,Party_00645,MH45AB00645,12429.93
646,Party_00646,MH46AB00646,10772.755
647,Party_00647,MH47AB00647,5911.093
648,Party_00648,MH48AB00648,14161.314
649,Party_00649,MH49AB00649,10575.031
650,Party_00650,MH50AB00650,3606.859
651,Party_00651,MH51AB00651,14018.14
652,Party_00652,MH52AB00652,7102.957
653,Party_00653,MH53AB00653,12722.336
654,Party_00654,MH54AB00654,6729.158
655,Party_00655,MH55AB00655,2755.548
656,Party_00656,MH56AB00656,11902.178
657,Party_00657,MH57AB00657,2986.492
658,Party_00658,MH58AB00658,8042.493
659,Party_00659,MH59AB00659,11651.732
660,Party_00660,MH60AB00660,10796.119
661,Party_00661,MH61AB00661,4767.381
662,Party_00662,MH62AB00662,11802.484
663,Party_00663,MH63AB00663,4313.266
664,Party_00664,MH64AB00664,7245.851
