die_number,dimension1,dimension2,dimension3,dimension4,wt_kg_p_mt,die_diagram,die_group,die_category
68017,56.94,85.33,2,0,1.716,die_profile_images/.net_data/7e1c16f7-c57b-43bf-9621-e91143b2057b_68017.jpg,44,2
68018,61.29,19,3,0,0.798,die_profile_images/.net_data/2e026dd7-018d-41fc-add1-dc464b636140_68018.jpg,44,2
68019,95.57,47.47,1.5,0,1.245,die_profile_images/.net_data/2820ea9b-e840-40c7-a0af-a5ab16dc4f95_68019.jpg,44,2
68020,122.8,21.01,3,0,1.772,die_profile_images/.net_data/71fda023-0575-498e-ac4d-99dbc1e4630d_68020.jpg,44,2
68021,112.49,86.3,46.4,1.25,1.335,die_profile_images/2022/08/20/122429/68021JPG.jpg,44,2
65101,100,40,2,0,1.514,die_profile_images/.net_data/e5517e03-4804-4974-b52a-d3834b6aa26f_65101.jpg,47,4
65102,108,40,2,0,1.036,die_profile_images/.net_data/742089e6-8349-45ff-a4dc-9ecfbbee0bf1_65102.jpg,47,4
65103,115,21.8,1,0,0.881,die_profile_images/.net_data/29fb046a-6724-4e9a-8e4b-740b5a53b75b_65103.jpg,47,4
65104,27.59,22.58,1.5,0,0.45,die_profile_images/2024/09/05/053623/65104.jpg,47,4
65105,20.17,22.58,1.5,0,0.481,die_profile_images/2024/09/05/055031/65105.jpg,47,4
60001,50,7.4,0,0,0.83,die_profile_images/.net_data/82645470-4ab4-42b2-8ddc-bf4de6c8aba0_60001.jpg,39,2
60002,54.6,7.4,0,0,0.93,die_profile_images/.net_data/797f08ad-eb63-46e1-81fd-72b61a080b37_60002.jpg,39,2
60003,40,56,2,0,1.787,die_profile_images/.net_data/26830d2d-419a-4951-b189-6cf953a7a386_60003.jpg,39,2
60004,49.5,28,1.25,0,0.375,die_profile_images/.net_data/d93206ea-e354-4fd5-8828-05ef8608b647_60004.jpg,39,2
60005,51,20,0.9,0,0.142,die_profile_images/.net_data/efc4c8ff-f724-4e72-9a8c-3e474a888332_60005.jpg,39,2
60006,22,9.75,1.25,0,0.101,die_profile_images/.net_data/343f7f7b-1d50-489d-9f31-80695d5294fb_60006.jpg,39,2
60007,33,25,1.25,0,0.445,die_profile_images/.net_data/ad9c44db-c652-4dde-9749-b3c7db76e134_60007.jpg,39,2
60008,33.85,5,1.07,0,0.125,die_profile_images/.net_data/750cf0d3-fb4c-4b03-ad7e-1b52a76c3115_60008.jpg,39,2
60009,59.85,11,0.9,0,0.199,die_profile_images/.net_data/31ad78f1-48c2-4600-a731-d2a2e7bfbcfd_60009.jpg,39,2
60010,12.1,60.17,1.2,0,0.443,die_profile_images/.net_data/fc9b26c6-5c76-4179-9936-e68eb906177d_60010.jpg,39,2
60011,60,10,1.2,0,0.433,die_profile_images/.net_data/27f98e62-b91b-45fb-b38c-eb41b569cc46_60011.jpg,39,2
60012,59.75,4.07,0.95,0,0.204,die_profile_images/.net_data/70d9c34a-8d39-40d3-9917-ed4671ac2cb4_60012.jpg,39,2
60013,100,10.1,1,0,0.328,die_profile_images/.net_data/29225dfe-99a4-4a39-add7-fdbe85bab73a_60013.jpg,39,2
60014,60.25,60.25,1.25,0,0.898,die_profile_images/.net_data/ddbfc38c-ebae-41a3-9ec4-45d0da0d8784_60014.jpg,39,2
60015,83.5,55.5,1.2,0,1.04,die_profile_images/.net_data/f05caab4-c76b-4656-909b-13298bef0dfa_60015.jpg,39,2
60016,32,7.4,1.2,0,0.133,die_profile_images/.net_data/c212d356-147f-49a1-a7b4-cbe5acc2ca4a_60016.jpg,39,2
60017,11.5,77,1.35,0,0.55,die_profile_images/.net_data/2a0b03c7-d70f-421d-b73b-d2220297670e_60017.jpg,39,2
60018,45,81.2,1.3,0,0.6,die_profile_images/.net_data/3514cff1-e11c-4741-bf41-13a5c2467c7f_60018.jpg,39,2
60019,76,31,1.25,0,0.97,die_profile_images/.net_data/dc8e49a5-e927-4133-b4e0-0f30875a1498_60019.jpg,39,2
60020,50,41,1,0,0.431,die_profile_images/.net_data/d01b2e33-1f47-44f1-b8ce-b878f96d8078_60020.jpg,39,2
60021,81.2,39,1,0,0.984,die_profile_images/.net_data/03d03d7d-b7bc-42d7-bb4c-94a0bdbfc54b_60021.jpg,39,2
60022,24.5,4.7,1,0,0.092,die_profile_images/.net_data/5a669922-f665-4192-bab7-1fbd5d56eb34_60022.jpg,39,2
60023,25.6,19.3,1,0,0.237,die_profile_images/.net_data/116e19bb-5f6d-4ecb-a6af-6c7237d4ca91_60023.jpg,39,2
60024,25.5,19.3,1,0,0.232,die_profile_images/.net_data/5b23c75e-af65-4366-a22b-e975ea4636c4_60024.jpg,39,2
60025,85.3,14.5,1.5,0,0.978,die_profile_images/.net_data/0d80ae24-4f74-4796-97b8-7600c2b51878_60025.jpg,39,2
60026,32.2,18,1.3,0,0.364,die_profile_images/.net_data/1b887b8a-3250-467c-ace7-d4ef0c6178c4_60026.jpg,39,2
60027,22.6,4.2,1.2,0,0.083,die_profile_images/.net_data/03671c64-1148-48f8-a821-949502a2394a_60027.jpg,39,2
60028,32,12,1.5,0,0.207,die_profile_images/.net_data/e83aab38-cfa4-4955-ac22-a066bd95f07e_60028.jpg,39,2
60029,31.7,11,1,0,0.138,die_profile_images/.net_data/31178c80-4c06-4dde-80ae-2b10fd042fdc_60029.jpg,39,2
60030,32,32,1.2,0,0.474,die_profile_images/.net_data/c4856f12-d715-4f52-a920-8382cd40551b_60030.jpg,39,2
60031,100,82,1.2,0,1.535,die_profile_images/.net_data/9b9e02d8-d7cd-43a1-9db0-9e90e87f0881_60031.jpg,39,2
60032,104,93,1.2,0,1.687,die_profile_images/.net_data/a262f8e3-1684-40b1-b51c-7ad4106492e0_60032.jpg,39,2
60033,82.3,30,1.2,0,0.816,die_profile_images/.net_data/e50c495b-e1ac-4d8d-bf08-12d6296551ab_60033.jpg,39,2
60034,75.8,26,1.3,0,0.553,die_profile_images/.net_data/367af275-543d-4bd5-8614-91db7a2c9ce5_60034.jpg,39,2
60035,75.8,10.6,1,0,0.41,die_profile_images/.net_data/7b54d8e1-d141-4c9f-a744-d0667a231c5c_60035.jpg,39,2
60036,57,11.3,1.2,0,0.271,die_profile_images/.net_data/9cfdb0ee-31ef-4503-b89a-71909fb2452e_60036.jpg,39,2
60037,56.7,18.4,1.1,0,0.34,die_profile_images/.net_data/4d811200-f5ff-457d-8843-636bf047a851_60037.jpg,39,2
60038,65.5,22.8,1.4,0,0.437,die_profile_images/.net_data/d406de43-665a-44ca-94cd-bfd0b33ca388_60038.jpg,39,2
60039,31.6,16.3,1.4,0,0.28,die_profile_images/.net_data/303582cc-0148-49ae-ae5a-7efb45a23c01_60039.jpg,39,2
60040,76.2,27.7,2.3,0,0.704,die_profile_images/.net_data/d7491557-172f-4049-ada2-a6038ef2ecb6_60040.jpg,39,2
60041,85,23,1.5,0,0.612,die_profile_images/.net_data/0c76a163-a098-435b-bd11-d0122fb55fd2_60041.jpg,39,2
60042,85,20,1.5,0,0.899,die_profile_images/.net_data/de32de35-5a87-4b60-97b2-be3f3684e589_60042.jpg,39,2
60043,90,60,1.7,0,2.226,die_profile_images/.net_data/c989ffd4-29cc-4c29-bc44-bf8b106b1628_60043.jpg,39,2
60044,84.9,46.7,1.8,0,1.191,die_profile_images/.net_data/3d04fdf4-b0cf-43ea-8aab-595b8006689b_60044.jpg,39,2
60045,58,36,1,0,0.667,die_profile_images/.net_data/4c287e38-8892-4e23-b451-e0ed2f6270f4_60045.jpg,39,2
60046,28.8,39.8,1.5,0,0.241,die_profile_images/.net_data/75147859-f9ab-4fc9-bd6c-6deecbe6cbd9_60046.jpg,39,2
60047,45,6.5,3.15,0,0.415,die_profile_images/.net_data/f13c7013-73c0-4aaf-8770-bd56ae0ee731_60047.jpg,39,2
60048,32,6.85,0.95,0,0.142,die_profile_images/.net_data/4ca8bd1f-abb1-4038-ac65-245a3de2e05e_60048.jpg,39,2
60049,32,19,1.2,0,0.287,die_profile_images/.net_data/7086b1a6-4dcd-4009-8f22-13c2804e4231_60049.jpg,39,2
60050,50,24,1.6,0,0.784,die_profile_images/.net_data/f84ca2a2-535e-4a1a-882f-eec47f58908f_60050.jpg,39,2
60052,28.6,22.35,1.6,0,0.399,die_profile_images/.net_data/9037953d-833f-4540-9ab3-380f0dc99881_60052.jpg,39,2
60053,28.6,22.35,1.6,0,0.399,die_profile_images/.net_data/9ec348b4-ed6a-42aa-86d7-79865f590800_60053.jpg,39,2
60054,85.3,22.3,1.8,0,0.978,die_profile_images/.net_data/f3abd2f0-4692-4862-8512-68344067c108_60054.jpg,39,2
60055,84.9,23,1.5,0,0.862,die_profile_images/.net_data/8845ebfe-b3cf-4dbe-95fd-2323561f714a_60055.jpg,39,2
60056,90,45,1.5,0,1.636,die_profile_images/.net_data/fa16492d-8df6-4d5e-86b8-ed914ab6b6a8_60056.jpg,39,2
60057,90,45,1.5,0,2,die_profile_images/.net_data/33befe9d-8b5d-445c-8480-c025f004b31c_60057.jpg,39,2
60058,75.8,30.2,1.2,0,0.872,die_profile_images/.net_data/1dae1fd9-4f9e-4c38-bf44-eb75de368938_60058.jpg,39,2
60059,20.2,17.5,1.3,0,0.221,die_profile_images/2021/07/02/094622/60059.jpg,39,2
60060,75.77,10.6,1,0,0.273,die_profile_images/2021/07/02/112934/60060.jpg,39,2
60061,45,7.4,1.2,0,0.189,die_profile_images/2021/08/16/110309/60061.jpg,39,2
60062,43,90,1.5,0,1.305,die_profile_images/2021/10/18/034213/60062.jpg,39,2
60063,45,90,1.5,0,1.419,die_profile_images/2022/05/07/050254/60063.jpg,39,2
60064,81.2,37,1,0,0.87,die_profile_images/2023/09/01/103137/60064.jpg,39,2
73001,47.77,10,2.2,0,0.383,die_profile_images/.net_data/bd87b143-af4a-41b5-b554-ed359cf6edd5_73001.jpg,50,2
73002,52,18.3,1.3,0,0.328,die_profile_images/.net_data/f45bcf0d-6b0a-4b76-a317-75a01e2237e2_73002.jpg,50,2
73003,52,110,2,0,1.978,die_profile_images/.net_data/3de364b9-3fb8-428b-bc70-54f3213094db_73003.jpg,50,2
73004,60,131,2,0,2.769,die_profile_images/.net_data/1ed996ae-2151-48eb-82ab-13f2b69b5d63_73004.jpg,50,2
73005,60,131,2,0,2.27,die_profile_images/.net_data/b569f253-0c20-450d-b9ef-d10992df4174_73005.jpg,50,2
73006,57.35,22.5,1.5,0,0.679,die_profile_images/.net_data/c47507a0-586b-4efe-96b6-98b4c4e1c576_73006.jpg,50,2
73007,18.15,16.68,3,0,0.253,die_profile_images/.net_data/d66692b8-d916-4ce5-8c0f-f6978951f8b7_73007.jpg,50,2
73008,132,70,2,0,2.39,die_profile_images/.net_data/48985299-85cd-44f9-8157-564a3c8753c0_73008.jpg,50,2
73009,72,108.25,2.5,0,1.609,die_profile_images/.net_data/2c38030b-26d4-435c-a5b6-0fe3e30d9c2d_73009.jpg,50,2
73010,27.9,55.74,2,0,0.519,die_profile_images/.net_data/9241d9d5-d524-4f47-a091-258622884c9e_73010.jpg,50,2
73011,78.54,61.57,2,0,1.19,die_profile_images/.net_data/77a52f47-6689-4830-b0a4-9ea72db15cfc_73011.jpg,50,2
73012,97,49.1,1.6,0,2.03,die_profile_images/.net_data/993f9325-02fd-4be5-8b47-10cd866f057c_73012.jpg,50,2
73013,65.8,26,1.4,0,0.851,die_profile_images/.net_data/d058a57b-0df7-4789-add0-7e2512f59808_73013.jpg,50,2
73014,38,29.7,1.4,0,0.325,die_profile_images/.net_data/63d4cda5-2699-4135-8690-d9567d36a038_73014.jpg,50,2
73015,65.8,26,1.3,0,0.818,die_profile_images/.net_data/9cf52a50-779b-42a6-98a6-2c1cb6e45f00_73015.jpg,50,2
73016,14.18,6.8,1.6,0,0.084,die_profile_images/.net_data/fb496137-cd79-4df3-abfb-9a0f134c8909_73016.jpg,50,2
73017,15.2,40.7,1.4,0,0.541,die_profile_images/2022/03/05/112028/73017.jpg,50,2
73018,28.45,24.92,1.2,0,0.226,die_profile_images/.net_data/dbdded6f-bdf3-469b-b211-8ea678be1cde_73018.jpg,50,2
73019,60,60,6,0,1.626,die_profile_images/.net_data/a2c70e6f-813f-4394-b5ea-6062b4b30692_73019.jpg,50,2
73020,37.1,20,1.5,0,0.483,die_profile_images/.net_data/17cd8814-1593-497b-8b19-df614280f1c5_73020.jpg,50,2
73021,29.5,9,2.1,0,0.184,die_profile_images/.net_data/ac8294fb-cd41-4a7c-8c78-40449994038b_73021.jpg,50,2
73022,60,77.5,2,0,1.707,die_profile_images/.net_data/6a75a0f6-0bd1-4a53-8dc5-b294daf5857b_73022.jpg,50,2
73023,44,23,1.7,0,0.633,die_profile_images/.net_data/a877b425-caef-4ad9-ac31-e416062edbab_73023.jpg,50,2
73024,71.2,39.5,1.8,0,1.112,die_profile_images/.net_data/00ca6ab5-373a-40b9-a933-1871ed7b00f1_73024.jpg,50,2
73025,78.3,39,1.8,0,1.278,die_profile_images/.net_data/35fc77b5-171a-4b0c-a75f-4822decbe338_73025.jpg,50,2
73026,65,10.75,2,0,0.415,die_profile_images/.net_data/58e5b8ab-7274-4a71-a2c3-e6cad3a0990f_73026.jpg,50,2
67201,100.6,35,1.3,0,0.609,die_profile_images/.net_data/ca64b942-1dad-4814-81d0-cdada9dfb4e1_67201.jpg,32,2
67202,65,40,1.5,0,1.235,die_profile_images/.net_data/8b851ac1-b2ca-45b5-a78f-13e175db3c35_67202.jpg,32,2
67203,34.67,24.66,3,0,0.737,die_profile_images/.net_data/06554a0a-5c45-4b47-9fa6-63ab8418ed63_67203.jpg,32,2
67204,87.2,100,3,0,8.688,die_profile_images/.net_data/433ec376-e248-45e2-8289-7aa9e71cb084_67204.jpg,32,2
67205,79.04,34,1.5,2,1.338,die_profile_images/.net_data/bd831423-eb99-437c-9051-f51dff675fb3_67205.jpg,32,2
67206,70,75,4,0,4.683,die_profile_images/.net_data/df8347fc-a894-4e28-9f0d-502374b070f7_67206.jpg,32,2
67207,75.23,27,1.5,0,0.608,die_profile_images/.net_data/e2e0c0aa-24bd-4f7e-9e7f-f57d3d82a142_67207.jpg,32,2
67208,42.59,9.37,1.8,0,0.36,die_profile_images/.net_data/50099ca2-ec3d-447e-b2b4-66fff79f6c19_67208.jpg,32,2
67209,21.82,45,2,0,0.67,die_profile_images/.net_data/19681aa3-f537-494b-b8a0-7aa539ac1f17_67209.jpg,32,2
67001,40.1,40,1.75,0,1.07,die_profile_images/.net_data/8a7aa527-fc47-4bdb-aad0-903111916264_67001.jpg,37,2
67002,50.8,47.5,1.75,0,1.079,die_profile_images/.net_data/df4744a5-480e-4e31-87ad-779227895656_67002.jpg,37,2
67003,21.5,24.65,1.25,0,0.484,die_profile_images/.net_data/e24ea2df-a4c2-4fce-a311-c224fdb0817d_67003.jpg,37,2
67004,63,100.64,3,0,3.659,die_profile_images/.net_data/68ad654c-e9f9-4a5a-9695-f4f046f97402_67004.jpg,37,2
67005,23,94.4,3,0,2.458,die_profile_images/.net_data/63b89ff6-43d0-45f1-9d8c-3420d2710866_67005.jpg,37,2
67006,84.5,96,9,0,5.641,die_profile_images/.net_data/61ea19b6-ba8a-411c-b036-1d30a5720325_67006.jpg,37,2
67007,65,80,2,0,3.445,die_profile_images/.net_data/1349abe7-bcd0-41dd-9b20-17ac12facfe4_67007.jpg,37,2
67008,20.1,23.7,1.2,0,0.219,die_profile_images/.net_data/d8ac17fe-7bf9-4cac-98bb-ebc112dcec24_67008.jpg,37,2
67009,54.69,55,2,0,2.055,die_profile_images/.net_data/00b2aa15-e22f-4816-b52b-00d91db03b49_67009.jpg,37,2
67010,70,116.75,2.75,0,5.45,die_profile_images/.net_data/416d192b-afaa-4f2b-a286-f06b2655b14f_67010.jpg,37,2
67011,24.9,7.6,2,0,0.166,die_profile_images/.net_data/6936789c-f5f7-4c9f-8185-f78a3df38904_67011.jpg,37,2
67012,60,35.5,1.5,0,1.17,die_profile_images/.net_data/2f1e4679-7d9d-48da-bb5b-3c29525cae27_67012.jpg,37,2
67013,103.9,7.74,1.75,0,0.652,die_profile_images/.net_data/a205fff0-5a8a-4604-b474-c057085283ce_67013.jpg,37,2
67014,44,44,1.5,0,0.771,die_profile_images/.net_data/f8fa1085-57f7-431f-a8e4-f9d1974bed63_67014.jpg,37,2
67015,80.37,38.15,1.5,0,1.248,die_profile_images/.net_data/83e8da26-f226-4e25-9f61-857448374ef7_67015.jpg,37,2
67016,40.45,35,0,0,1.301,die_profile_images/.net_data/4f93d1bd-1c2e-42e5-8e46-5ea2fa01e699_67016.jpg,37,2
67017,86.57,50.07,3,0,1.59,die_profile_images/.net_data/7ca1e759-34f0-495f-8c15-4c5280629f01_67017.jpg,37,2
67018,46.18,41.49,3,0,1.065,die_profile_images/.net_data/ba0a1a1b-fed2-47c2-b457-8857ff345a93_67018.jpg,37,2
67019,31.47,23.44,3,0,0.591,die_profile_images/.net_data/53890bad-eaed-493e-80fb-922a2c7e654c_67019.jpg,37,2
67020,42.1,37.43,1.5,0,0.786,die_profile_images/2022/12/25/042805/67020.jpg,37,2
67021,42.26,38.94,1.65,0,0.606,die_profile_images/2023/01/06/103830/67021.jpg,37,2
67022,65,87.12,2,0,2.81,die_profile_images/2023/01/06/103936/67022.jpg,37,2
68501,120,45,8,0,4.789,die_profile_images/.net_data/8edc70bc-87cd-4144-9f64-04862bb61613_68501.jpg,54,2
68502,63,47,2,0,1.124,die_profile_images/.net_data/4e494e09-5946-4bad-b87d-720053b7a791_68502.jpg,54,2
68503,91.6,7.9,1.4,0,0.467,die_profile_images/.net_data/3b48f7e6-5e2e-474c-9e19-3df0730f62a4_68503.jpg,54,2
68504,50,35,3,0,1.255,die_profile_images/.net_data/e98da8bd-ca39-4a8c-9f4e-2713b13bd74c_68504.jpg,54,2
68505,83.7,58,44.9,1.5,1.276,die_profile_images/2023/06/11/095523/68505.jpg,54,2
68507,89.8,69,1.8,0,1.44,die_profile_images/2023/07/12/104059/68507.jpg,54,2
69001,53,50,1.6,0,1.035,die_profile_images/.net_data/5686385f-d4b1-48eb-9cde-bdcbd0a134a1_69001.jpg,55,2
69002,49,12.5,1.3,0,0.345,die_profile_images/.net_data/2eaf068e-5221-4957-ba7b-9c801f1d398d_69002.jpg,55,2
69003,25,25,1.2,0,0.333,die_profile_images/.net_data/924bf215-9f8e-4858-a2cf-ac4db8127077_69003.jpg,55,2
69004,51,50,1,0,0.624,die_profile_images/.net_data/b8fd58e3-ada6-437e-acf5-b309ec484f19_69004.jpg,55,2
69005,37,22,1.2,0,0.452,die_profile_images/.net_data/6f8f5b45-3fda-4270-b3a5-5d9f5d78e4a0_69005.jpg,55,2
69006,43,26,1,0,0.36,die_profile_images/.net_data/62c55293-9da6-4df2-a5ff-351010d63c7f_69006.jpg,55,2
69007,83.1,83.1,1.2,0,0.999,die_profile_images/.net_data/796aa33b-d395-4cc5-affa-c352f4736dac_69007.jpg,55,2
69008,103.5,103.5,1.5,0,1.712,die_profile_images/.net_data/98ab7f67-24bc-4d5a-9afa-1f755179e10b_69008.jpg,55,2
69009,53,26.97,1,0,0.377,die_profile_images/.net_data/b14b488e-7c1c-45ed-9185-39958299b978_69009.jpg,55,2
69010,72.9,72.9,1.2,0,0.948,die_profile_images/.net_data/f2bdacf0-9124-4ce6-ba16-a6d11362b33e_69010.jpg,55,2
69011,78.4,11.5,1,0,0.35,die_profile_images/2021/05/10/102848/69011.jpg,55,2
58601,100,40,1.5,0,0.792,die_profile_images/.net_data/d4306d76-2640-4b5a-96c7-78d36cd944a9_58601.jpg,57
58602,45.5,55,1.4,0,0.789,die_profile_images/.net_data/4a7e5656-335b-428e-95c8-ed68ad1e724f_58602.jpg,57
58603,22.2,40.2,1.3,0,0.443,die_profile_images/.net_data/493a2c15-16a5-4cf2-a6bf-b3c8e5a36ab0_58603.jpg,57
58604,25.2,22.8,1.2,0,0.319,die_profile_images/.net_data/b68afa83-e331-4d8a-ad64-b9ffedc1ca44_58604.jpg,57,1
58605,39,9.5,1.3,0,0.368,die_profile_images/.net_data/39272f49-ce70-4e13-b68c-fc8704663ef9_58605.jpg,57
58606,61.5,40,2,0,1.478,die_profile_images/.net_data/44ebc35f-2de3-4fe6-bc49-4ced0ee40d38_58606.jpg,57
58607,38.3,38,1.3,0,0.448,die_profile_images/.net_data/7d55e984-650d-44b2-9301-ac5b2f6a5e98_58607.jpg,57
58608,38.3,4.8,1.2,0,0.149,die_profile_images/.net_data/66bea593-9e9a-45f2-a4a8-b9b9f4af68ca_58608.jpg,57
58609,40,111,3.5,0,2.696,die_profile_images/.net_data/1d473c63-a5dd-4662-81ae-f4f320ce6840_58609.jpg,57,4
58610,65.25,82.9,2.26,0,1.766,die_profile_images/2021/08/13/114757/58610.jpg,57,2
58611,65.34,67.43,2.5,0,2.235,die_profile_images/2021/07/29/120946/58611.jpg,57,2
58612,55,40,1.8,0,1.118,die_profile_images/.net_data/bd5a2d57-e723-4934-9177-4af75e64598d_58612.jpg,57,2
58613,72,98,3,0,3.5,die_profile_images/2021/10/26/112847/58613.jpg,57,2
58614,50,50,1.8,0,1.203,die_profile_images/.net_data/35a44dc2-9f3a-4f4b-872a-47513c9bbdd5_58614.jpg,57,2
58615,75,25,1.8,0,1.099,die_profile_images/.net_data/37e94585-a52c-4afb-bef6-ce5fcd72f4d3_58615.jpg,57,2
58616,75,25,1.2,0,0.755,die_profile_images/.net_data/49fa3f2f-a51f-4512-9665-30cb43d98546_58616.jpg,57,2
58617,25.6,7.84,1.4,0,0.278,die_profile_images/2021/07/29/120826/58617.jpg,57,2
58618,160,40,3,0,2.548,die_profile_images/2021/10/26/113050/58618.jpg,57,2
58619,100,40,3,0,2.497,die_profile_images/2021/10/26/113248/58619.jpg,57,2
58620,59.61,67.25,1.5,0,1.128,die_profile_images/2021/10/26/113431/58620.jpg,57,2
58621,66.42,87.95,3,0,0.256,die_profile_images/2021/10/26/113724/58621.jpg,57,2
58622,66.42,87.95,3,0,2.255,die_profile_images/2021/10/26/113923/58622.jpg,57,2
58623,35,47.5,2.5,0,1.141,die_profile_images/2021/10/26/114045/58623.jpg,57,2
58624,54.3,7.8,1.75,0,0.415,die_profile_images/2024/06/05/043212/58624.jpg,57,4
58625,69.8,9.15,1.25,0,0.34,die_profile_images/2024/06/05/043359/58625.jpg,57,4
58626,42,10.2,1,0,0.394,die_profile_images/2024/08/08/100329/58626.jpg,57,4
58627,25.3,16.2,1.4,0,0.203,die_profile_images/2024/08/08/100744/58627.jpg,57,4
