die_number,dimension1,dimension2,dimension3,dimension4,wt_kg_p_mt,die_diagram
10009,6,0,0,0,0.076,die_profile_images/.net_data/0abc2cd1-ce3f-4b16-8b69-771fd17fcddc_ROUND BAR.jpg
10010,30,0,0,0,1.908,die_profile_images/.net_data/df745dad-a743-4d71-82db-0ed609fb20cb_ROUND BAR.jpg
10011,35,0,0,0,2.597,die_profile_images/.net_data/8eeb8323-1903-49f9-88bb-2fbd25c3a64d_ROUND BAR.jpg
10012,36,0,0,0,2.748,die_profile_images/.net_data/e43c9e5a-8b96-4ffa-885a-253fdc786d8c_ROUND BAR.jpg
10013,38,0,0,0,3,die_profile_images/.net_data/4eabdce7-4d7b-4942-9206-157a65f5c9e7_ROUND BAR.jpg
10014,40,0,0,0,3.392,die_profile_images/.net_data/9b94e593-22ae-44e0-ba1c-68fcbbd89696_ROUND BAR.jpg
10015,42,0,0,0,3.74,die_profile_images/.net_data/6121d7f1-b35c-4339-b4fe-de6f3f9729c1_ROUND BAR.jpg
10016,45,0,0,0,4.294,die_profile_images/.net_data/264a2aad-fdfc-4d39-bd96-c1f52291677d_ROUND BAR.jpg
10017,50.8,0,0,0,5.39,die_profile_images/.net_data/e45cd03c-0f70-48f8-9928-c3eab6d855e9_ROUND BAR.jpg
10018,17,0,0,0,0.612,die_profile_images/.net_data/54a0995b-9e19-4153-a7bc-dd3a9beacd0a_ROUND BAR.jpg
10019,44.5,0,0,0,4.199,die_profile_images/.net_data/44a2bdca-1361-462f-a53e-52198769ef0d_ROUND BAR.jpg
10020,57.1,0,0,0,6.822,die_profile_images/.net_data/f3c6e5e3-d4f7-4b7d-af48-01ee8057a0a4_ROUND BAR.jpg
10021,60,0,0,0,7.634,die_profile_images/.net_data/2a52b456-d8f7-4c82-a654-cd3588722669_ROUND BAR.jpg
10022,22.2,0,0,0,1.026,die_profile_images/.net_data/c7faa69d-d90e-4bc2-ac27-6c10c4ae8883_ROUND BAR.jpg
10023,18.9,0,0,0,0.757,die_profile_images/.net_data/3c547eff-40c2-42ba-941c-e2577131b23e_ROUND BAR.jpg
10024,8,0,0,0,0.135,die_profile_images/.net_data/cdb8e866-8ddb-45c5-b099-78d16588a47a_ROUND BAR.jpg
10025,19.55,0,0,0,0.81,die_profile_images/.net_data/6fed87e1-60ec-4edb-9474-98f13eab3ded_ROUND BAR.jpg
10026,11,0,0,0,0.262,die_profile_images/.net_data/60087b77-35cd-4068-a9d6-fa735d02c3b6_ROUND BAR.jpg
10027,12,0,0,0,0.305,die_profile_images/.net_data/30359334-87f1-4248-8d36-52807b8578bb_ROUND BAR.jpg
10028,15.88,0,0,0,0.534,die_profile_images/.net_data/339d4680-0600-4423-9f1f-3e9c5012861c_ROUND BAR.jpg
10029,20,0,0,0,0.305,die_profile_images/.net_data/1e435f19-9dda-4820-ad60-ed455e04b067_ROUND BAR.jpg
10030,18,0,0,0,0.687,die_profile_images/.net_data/33e939b1-3bc8-45bf-883a-d98e0d6ef481_ROUND BAR.jpg
10031,12.7,0,0,0,0.342,die_profile_images/.net_data/8890ad19-ae43-4e54-8258-34275aa6522e_ROUND BAR.jpg
10032,15,0,0,0,0.477,die_profile_images/.net_data/a85b3453-5a87-4306-be2b-d5c24f4e5299_ROUND BAR.jpg
10033,33,0,0,0,2.309,die_profile_images/.net_data/2814ae7d-7420-4a88-a73c-a75be215f8ed_ROUND BAR.jpg
10034,10,0,0,0,0.212,die_profile_images/2021/03/18/111737/ROUND_BAR.jpg
10035,9.55,0,0,0,0.193,die_profile_images/2022/03/15/022926/ROUND_BAR.jpg
10036,52,0,0,0,5.733,die_profile_images/2023/10/03/044913/ROUND_BAR.jpg
10037,26,0,0,0,1.433,die_profile_images/2023/01/28/030010/10037.jpg
10038,50.8,0,0,0,5.472,die_profile_images/2023/11/04/021232/10038.jpg
10101,61.5,0,0,0,8.02,die_profile_images/2022/03/15/035202/ROUND_BAR.jpg
11001,20,10,0,0,0.54,die_profile_images/.net_data/flat bar.jpg
11101,25,2,0,0,0.135,die_profile_images/.net_data/flat bar.jpg
11102,25,4,0,0,0.27,die_profile_images/.net_data/flat bar.jpg
11103,25,5,0,0,0.337,die_profile_images/.net_data/flat bar.jpg
11104,25,10,0,0,0.675,die_profile_images/.net_data/flat bar.jpg
11105,38,5,0,0,0.513,die_profile_images/.net_data/flat bar.jpg
11106,30,3,0,0,0.243,die_profile_images/.net_data/7ff37a7f-53c4-4acc-9991-c554a9ed6515_flat bar.jpg
11107,40,6,0,0,0.648,die_profile_images/.net_data/flat bar.jpg
11108,40,10,0,0,1.08,die_profile_images/.net_data/flat bar.jpg
11109,40,12,0,0,1.296,die_profile_images/.net_data/flat bar.jpg
11110,23,2.5,0,0,0.155,die_profile_images/.net_data/flat bar.jpg
11111,38,12,0,0,1.23,die_profile_images/.net_data/flat bar.jpg
11112,25,6,0,0,0.4,die_profile_images/.net_data/flat bar.jpg
11113,38,3,0,0,0.307,die_profile_images/.net_data/flat bar.jpg
11114,30,18,0,0,1.45,die_profile_images/.net_data/flat bar.jpg
11115,38,8,0,0,0.82,die_profile_images/.net_data/flat bar.jpg
11116,23,1.5,0,0,0.092,die_profile_images/.net_data/flat bar.jpg
11117,30,8,0,0,0.655,die_profile_images/.net_data/flat bar.jpg
11118,30,10,0,0,0.809,die_profile_images/.net_data/flat bar.jpg
11119,32,12,0,0,1.036,die_profile_images/.net_data/flat bar.jpg
11120,25,8,0,0,0.538,die_profile_images/.net_data/flat bar.jpg
11121,32,10,0,0,0.864,die_profile_images/.net_data/flat bar.jpg
11122,45,9,0,0,1.093,die_profile_images/.net_data/flat bar.jpg
11123,25,3,0,0,0.202,die_profile_images/.net_data/flat bar.jpg
11124,19.1,6.35,0,0,0.327,die_profile_images/.net_data/flat bar.jpg
11125,32,1.6,0,0,0.138,die_profile_images/.net_data/a2d957d3-735b-452b-9dcb-40fda99ee3bd_FLAT BAR.jpg
11126,25,12,0,0,0.816,die_profile_images/.net_data/flat bar.jpg
11127,40,6.35,0,0,0.702,die_profile_images/.net_data/flat bar.jpg
11128,40,1.8,0,0,0.194,die_profile_images/.net_data/bb4b83fd-f605-455e-bb1a-346a80121939_FLAT BAR.jpg
11129,44.3,1.4,0,0,0.167,die_profile_images/.net_data/flat bar.jpg
11130,32,6,0,0,0.518,die_profile_images/.net_data/flat bar.jpg
11131,19,3,0,0,0.153,die_profile_images/.net_data/1451a467-71c9-4f8e-9b91-8353a5ee65bb_flat bar.jpg
11132,38.1,25.4,0,0,2.612,die_profile_images/.net_data/fe1df98c-2952-45d3-905a-b1d8206fe3eb_flat bar.jpg
11133,40,5,0,0,0.54,die_profile_images/.net_data/2e0e811b-d1f1-4b0f-8d05-409cae786df9_flat bar.jpg
11134,33.6,1.3,0,0,0.117,die_profile_images/.net_data/8e8cb717-cbb5-44d3-94d1-effb7208b015_FLAT BAR.jpg
11135,12.15,7.2,0,0,0.236,die_profile_images/.net_data/5c1d1898-3808-44cc-9929-86c819c106ae_11135.jpg
11136,40,16,0,0,1.728,die_profile_images/.net_data/68acf106-b2f6-4b21-b9ad-167dab1fbc34_flat bar.jpg
11137,30,28,0,0,2.268,die_profile_images/2023/10/04/020427/11135.jpg
11138,32,3,0,0,0.27,die_profile_images/2021/06/03/032659/flat_bar.jpg
11139,9,7,0,0,0.17,die_profile_images/2021/07/05/033839/flat_bar.jpg
11140,25.4,16,0,0,1.054,die_profile_images/2022/03/15/035124/FLAT_BAR.jpg
11141,24,2.4,0,0,0.155,die_profile_images/2022/05/19/050348/flat_bar.jpg
11142,15.5,10,0,0,0.418,die_profile_images/2023/02/09/022508/flat_bar.jpg
11143,7.9,12.55,0,0,0.267,die_profile_images/2023/06/25/040633/flat_bar.jpg
11144,16.9,22.4,0,0,1.021,die_profile_images/2023/06/25/040753/flat_bar.jpg
11145,35,25,0,0,2.362,die_profile_images/2023/11/04/020522/11145.jpg
11146,40,9.5,0,0,1.025,die_profile_images/2024/02/23/033622/19002.jpg
11146,40,9.5,0,0,1.025,die_profile_images/2024/02/23/033925/19002.jpg
11147,25,5,0,0,0.335,die_profile_images/2024/03/09/114212/11210.jpg
11201,50,6,0,0,0.81,die_profile_images/.net_data/flat bar.jpg
11202,50,10,0,0,1.35,die_profile_images/.net_data/flat bar.jpg
11203,50,3,0,0,0.405,die_profile_images/.net_data/flat bar.jpg
11204,50,2,0,0,0.27,die_profile_images/.net_data/flat bar.jpg
11205,50,1.5,0,0,0.202,die_profile_images/.net_data/flat bar.jpg
11206,50,4,0,0,0.54,die_profile_images/.net_data/flat bar.jpg
11207,50,12,0,0,1.62,die_profile_images/.net_data/flat bar.jpg
11208,50.8,16,0,0,2.194,die_profile_images/.net_data/2b7524cb-bdc4-4791-8255-f221cd55f321_flat bar.jpg
11209,50.8,19.05,0,0,2.612,die_profile_images/.net_data/4ce71df6-9f8d-4aa1-b094-8f20e95c6acf_flat bar.jpg
11210,50,5,0,0,0.675,die_profile_images/2022/07/12/105424/flat_bar.jpg
11211,50,25,0,0,3.375,die_profile_images/2024/05/25/102530/flat_bar.jpg
11301,65,10,0,0,1.755,die_profile_images/.net_data/d7a1b3d1-afb1-404d-bae2-e2c698f8731c_flat bar.jpg
11302,76,3,0,0,0.615,die_profile_images/.net_data/247ffdd6-4467-4a0e-8fb4-9936db03b524_flat bar.jpg
11303,75,10,0,0,2.025,die_profile_images/.net_data/ae70eb72-7879-41d3-986b-047eaf34545f_flat bar.jpg
11304,75,12,0,0,2.43,die_profile_images/.net_data/f5ebcd4d-9fa2-4854-ad91-655f63a78e00_flat bar.jpg
11305,80,4,0,0,0.264,die_profile_images/.net_data/a13b5d72-60cb-4d12-9c48-ce142ce53f86_flat bar.jpg
11306,80,10,0,0,2.16,die_profile_images/.net_data/e1da3b70-1edc-4b88-9805-d365da927e90_flat bar.jpg
11307,80,12,0,0,2.59,die_profile_images/.net_data/d48b3f3e-fb14-4f16-9852-7e6ee6fcac61_flat bar.jpg
11308,63,10,0,0,1.7,die_profile_images/.net_data/e4829200-50ac-4209-8882-ff814831fde2_flat bar.jpg
11309,75,2.5,0,0,0.506,die_profile_images/.net_data/7b7ddd07-9436-42f2-a87b-e076fffbc56b_flat bar.jpg
11310,76,6,0,0,1.231,die_profile_images/.net_data/a5c23e5d-9099-485f-8f90-20db1c2dd139_flat bar.jpg
11311,76.2,19.05,0,0,3.919,die_profile_images/.net_data/7fd7dbe8-a4c2-463c-a273-9004f78eb39a_flat bar.jpg
11312,50.8,25.4,0,0,3.483,die_profile_images/.net_data/b42ccbbc-542b-4dad-b5f9-f3c10e3aed05_flat bar.jpg
11313,60,10,0,0,1.62,die_profile_images/.net_data/flat bar.jpg
11314,75,6,0,0,1.215,die_profile_images/.net_data/58e2cb68-62f0-4454-8bf9-03e5ee7f34a4_flat bar.jpg
11315,63,6,0,0,1.02,die_profile_images/.net_data/551e3228-e328-4f55-979b-72a0f7fc70ce_flat bar.jpg
11316,76.2,16,0,0,3.291,die_profile_images/.net_data/c70b07ea-cf0b-4b92-89e1-46d938a5b056_flat bar.jpg
11317,63.5,32,0,0,5.486,die_profile_images/.net_data/a3e580c0-d717-4afb-a22c-cb51b7209270_flat bar.jpg
11318,76.2,25.4,0,0,5.225,die_profile_images/.net_data/f4a55653-bc14-4a92-93a7-f1287d4b439f_flat bar.jpg
11319,63.5,25.4,0,0,4.354,die_profile_images/.net_data/4da9999b-940a-4b17-866a-b1e86e47cfb7_flat bar.jpg
11320,50.8,32,0,0,4.389,die_profile_images/.net_data/ea9826af-405d-4b39-a9aa-d471c18a7caf_flat bar.jpg
11321,76,12.7,0,0,2.605,die_profile_images/2021/03/24/035730/flat_bar.jpg
11322,63,3,0,0,0.51,die_profile_images/2021/04/22/123617/11322.jpg
11323,63.5,19.05,0,0,3.266,die_profile_images/2022/03/15/040241/flat_bar.jpg
11324,91,26.5,0,0,6.509,die_profile_images/2024/07/10/031437/11324.jpg
11401,100,10,0,0,2.7,die_profile_images/.net_data/1f487603-432c-4ffe-9b5b-6dd462bbc080_flat bar.jpg
11402,100,12,0,0,3.24,die_profile_images/.net_data/05f9c1c3-c602-46fb-8849-6c98b926f7cb_flat bar.jpg
11403,120,12,0,0,3.888,die_profile_images/.net_data/35d4198b-98ed-40bb-ba58-d5c67835823d_flat bar.jpg
11404,101.6,19.05,0,0,5.225,die_profile_images/.net_data/ae288445-d8d3-41c0-b0e9-fa5b5bcb1bc7_flat bar.jpg
11405,100,6,0,0,1.62,die_profile_images/.net_data/ac0ae05c-ed08-4ff9-98ce-ad2c285af396_flat bar.jpg
11406,101.6,25.4,0,0,6.967,die_profile_images/.net_data/6c9530ca-2465-410d-bbfd-551b493a6c68_flat bar.jpg
11407,120,10,0,0,3.3,die_profile_images/.net_data/069e9146-b4c4-4187-b772-810b371c7372_flat bar.jpg
11408,127,6,0,0,2.057,die_profile_images/.net_data/2eade41e-09a8-4fda-8d2a-826710808308_flat bar.jpg
11409,101.6,16,0,0,4.38,die_profile_images/.net_data/f31ee00c-f278-4950-8cb1-2fc648e440d7_flat bar.jpg
11410,100,20,0,0,5.4,die_profile_images/.net_data/b94fa69a-7815-4b49-98c0-39666b677254_flat bar.jpg
11411,100,5,0,0,1.35,die_profile_images/2021/12/04/120420/flat_bar.jpg
11601,125,10,0,0,3.375,die_profile_images/.net_data/8c172c42-fc36-4764-a0e1-0b0e0cabd014_flat bar.jpg
11602,127,10,0,0,3.429,die_profile_images/.net_data/19823bd0-687a-40d6-9ee9-64f8e46b799a_flat bar.jpg
11603,127,16,0,0,5.486,die_profile_images/.net_data/e3e02b07-a8ad-497f-a3cf-1666a33d1454_flat bar.jpg
11701,150,12,0,0,4.86,die_profile_images/.net_data/2e5cf081-514d-4d7b-b92d-2315b9fa64df_flat bar.jpg
11702,150,10,0,0,4.05,die_profile_images/.net_data/b865bc88-796f-48d2-b8c5-e8c09cbb5f45_flat bar.jpg
11703,152.4,6.35,0,0,2.612,die_profile_images/.net_data/107a8d60-1240-446e-8527-f4364de39d9e_flat bar.jpg
11704,152.4,12.7,0,0,5.225,die_profile_images/.net_data/774ac7ac-77d9-4d9a-9788-ac1eeadeebbc_flat bar.jpg
11705,144.5,12,0,0,5.089,die_profile_images/2023/11/11/124027/11210.jpg
12001,18,18,2.5,0,0.225,die_profile_images/.net_data/ca6dcab9-30bf-4436-a134-53462e1f8bad_equal L angle.jpg
12002,19,19,2,0,0.194,die_profile_images/.net_data/81fa8657-72d4-4bf5-a326-3feb8ef2b2cd_equal L angle.jpg
12004,12,12,1.3,0,0.08,die_profile_images/.net_data/ba440382-17a3-4dc1-950b-6178c5e99194_equal L angle.jpg
12005,18,18,1.5,0,0.139,die_profile_images/.net_data/5bc5cc4e-3400-4195-8563-f82eb8e560cc_equal L angle.jpg
12006,19,19,1.5,0,0.147,die_profile_images/.net_data/366c57e0-469d-4655-a487-054485fb8c11_equal L angle.jpg
12101,25,25,3,0,0.38,die_profile_images/.net_data/fbf1b975-bc0c-4188-bbbd-a50384e0d462_equal L angle.jpg
12102,25,25,2,0,0.262,die_profile_images/.net_data/6a152776-847f-48f5-af51-71f8271d2078_equal L angle.jpg
12103,38,38,2,0,0.399,die_profile_images/.net_data/73ee1f1d-801d-4ea5-b59a-eb4fffeaf882_equal L angle.jpg
12104,38,38,3,0,0.61,die_profile_images/.net_data/fc683690-7694-4205-acc0-03f28ef5f9cb_equal L angle.jpg
12105,25.4,25.4,6.35,0,0.77,die_profile_images/2023/08/23/093608/12215.jpg
12106,25.4,25.4,4.75,0,0.59,die_profile_images/.net_data/1fc3266f-f152-45ff-ac2a-ea6458679277_equal L angle.jpg
12107,38,38,1.5,0,0.301,die_profile_images/.net_data/d4f7c3c0-9342-4416-bb42-ca65da9392ad_equal L angle.jpg
12108,45,45,5,0,1.05,die_profile_images/.net_data/e600eb71-3f44-44dc-ab17-419dc287816b_equal L angle.jpg
12109,38,38,5,0,0.958,die_profile_images/.net_data/f0d1a54a-c64f-4893-aa31-8d7243910e38_equal L angle.jpg
12110,38.1,38.1,6,0,1.137,die_profile_images/.net_data/6e5663a2-a9a4-4763-bd30-020974a38c66_equal L angle.jpg
12111,32,32,3,0,0.494,die_profile_images/.net_data/9b543451-afa5-4701-b96e-44dc9d3255fe_equal L angle.jpg
12112,25,25,4,0,0.496,die_profile_images/.net_data/fd7cb4fb-39c5-4227-bef0-93ba7caf562b_equal L angle.jpg
12113,25,25,1.5,0,0.196,die_profile_images/.net_data/d42dabb6-6293-450a-94e5-93aed9965977_equal L angle.jpg
12114,38,38,4,0,0.77,die_profile_images/.net_data/60804126-a7a5-41e9-81c2-bfb1ee2561da_equal L angle.jpg
12115,25.4,25.4,6.35,0,0.761,die_profile_images/2022/10/17/103713/12115.jpg
12116,30,30,4,0,0.603,die_profile_images/2024/03/20/051911/equal_L_angle.jpg
12117,25,25,2.5,0,0.32,die_profile_images/2025/01/21/123023/12117.jpg
12201,50,50,1.5,0,0.398,die_profile_images/.net_data/876f7e26-3206-40c8-aecd-d81d049b3720_equal L angle.jpg
12202,50,50,3,0,0.785,die_profile_images/.net_data/523cb074-5c43-4329-aac0-7df8fdd943e0_equal L angle.jpg
12203,63.5,63.5,3,0,1,die_profile_images/.net_data/06c4a856-a20a-4de1-b5d1-e88cf87e6661_equal L angle.jpg
12204,75,75,5,0,1.97,die_profile_images/.net_data/01b986a5-5227-4cd7-9c50-7b98d6e136c0_equal L angle.jpg
12205,50,50,2,0,0.529,die_profile_images/.net_data/59fbeb3c-4ad4-4f77-83e8-5233f2be9055_equal L angle.jpg
12206,50.8,50.8,6,0,1.548,die_profile_images/.net_data/978d8c1c-5b3f-4fdf-a8d4-278e18a0bf30_equal L angle.jpg
12207,75,75,3,0,1.19,die_profile_images/.net_data/52d05338-20d2-48d5-9211-4bed97ef1f5e_equal L angle.jpg
12208,76.2,76.2,6.35,0,2.504,die_profile_images/.net_data/22b3a584-4117-4a94-a01e-a9eb17facbf1_equal L angle.jpg
12209,75,75,6,0,2.332,die_profile_images/.net_data/58ea4022-0214-400d-9f18-eb20caa6686e_equal L angle.jpg
12210,60,60,4,0,1.252,die_profile_images/2021/05/16/092837/12210.jpg
12211,50,50,5,0,1.282,die_profile_images/2021/04/15/023254/equal_L_angle.jpg
12212,50,50,2.75,0,0.734,die_profile_images/2021/08/07/030756/equal_L_angle.jpg
12213,50.8,50.8,6.35,0,1.632,die_profile_images/2022/10/19/122341/equal_L_angle.jpg
12214,50.8,50.8,4.83,0,1.26,die_profile_images/2022/10/19/122437/equal_L_angle.jpg
12244,41.5,14,13.75,0,3.236,die_profile_images/2023/07/10/045647/14242.jpg
13001,16,13,1,0,0.075,die_profile_images/.net_data/4b0c14b6-74b0-4769-9f7c-e3d0ec6e4792_unequal L angle.jpg
13002,18,13,0.6,0,0.049,die_profile_images/.net_data/326b3d46-38d1-4d56-9b65-2484314b02df_unequal L angle.jpg
13003,20,15,2.5,0,0.219,die_profile_images/.net_data/e77d3a85-9b81-456d-87c3-2b9c5e2c737d_unequal L angle.jpg
13101,25,13,1,0,0.099,die_profile_images/.net_data/058ba503-4c56-404d-85ce-09590f8aab09_unequal L angle.jpg
13102,33,13,1,0,0.12,die_profile_images/.net_data/26391cd9-4bd8-480a-96ac-cd1820b13bbc_unequal L angle.jpg
13103,38,13,1,0,0.135,die_profile_images/.net_data/177007f9-2d18-46f9-8941-369a08c6dac6_unequal L angle.jpg
13104,39,13,1,0,0.137,die_profile_images/.net_data/5a2c42f8-99e5-4d7c-ac41-5f4744bb7b65_unequal L angle.jpg
13105,38,24,3,0,0.477,die_profile_images/.net_data/32f2aeb9-c173-4a41-a73b-499efb023664_unequal L angle.jpg
13106,38.1,25.4,1.5,0,0.251,die_profile_images/.net_data/a14860e3-2f8b-419f-8ffd-e2489d5bb539_unequal L angle.jpg
13107,40,20,3,0,0.461,die_profile_images/.net_data/2ea26d40-2235-4c93-9554-069d002f1fb5_13107.jpg
13108,35,25,5,0,0.742,die_profile_images/2023/05/18/102231/13108.jpg
13109,31.6,25.6,2.6,0,0.383,die_profile_images/2024/03/15/031735/13109.jpg
13110,38.1,25.4,4,0,0.642,die_profile_images/2024/04/04/054230/13110.jpg
13111,60,40,3,0,0.784,die_profile_images/2024/11/06/045034/13111.jpg
13201,43,13,1,0,0.148,die_profile_images/.net_data/b6cb1856-08e2-4666-b54d-35fe62d99e92_unequal L angle.jpg
13202,50,25,2,0,0.394,die_profile_images/.net_data/f957df9b-30fb-418b-a17b-6e3104a257e5_unequal L angle.jpg
13203,75,50,5,0,1.62,die_profile_images/.net_data/85367179-b28f-4ff8-a01f-e0cceb8dd239_unequal L angle.jpg
13204,76.2,38.1,2,0,0.606,die_profile_images/.net_data/674ffe07-2bf8-43e5-8f6b-de8137bec8ab_unequal L angle.jpg
13205,75,25,2,0,0.529,die_profile_images/.net_data/accc5d82-900a-46cf-95e4-f2816f054af9_unequal L angle.jpg
13206,75,50,2,0,0.664,die_profile_images/.net_data/e17cc476-0e43-46ec-8caf-f53bcbc5bdde_unequal L angle.jpg
13207,78,38,12,0,3.369,die_profile_images/2023/06/11/114930/13207.jpg
13208,76.2,50.8,6.35,0,2.05,die_profile_images/2022/10/19/123836/13208.jpg
13210,57,34.91,3,0,0.73,die_profile_images/2024/02/03/032507/13210.jpg
13211,75,25,3,0,0.785,die_profile_images/2024/03/15/031512/13211.jpg
13401,100,50,3,0,1.19,die_profile_images/.net_data/e4265baa-6541-4d78-9fe5-d202a4c22efa_unequal L angle.jpg
13402,100,50,6,0,2.332,die_profile_images/.net_data/8c570f58-f86c-491c-b3df-b481883b3a14_unequal L angle.jpg
13403,162,50,3,0,1.486,die_profile_images/2024/02/03/032234/13403.jpg
13404,150,50,4,0,2.116,die_profile_images/2024/03/06/040546/13404.jpg
13405,57,19,2,0,0.399,die_profile_images/2024/12/09/110352/13405.jpg
13406,30,20,2,0,0.259,die_profile_images/2024/12/09/105744/13406.jpg
14001,9,7,1,0,0.071,die_profile_images/.net_data/9b749d46-1c02-4829-b26d-3ed62fbe07db_round tube.jpg
14002,12,10,1,0,0.099,die_profile_images/.net_data/f353b606-021c-461f-a8b6-446d6d9116c2_round tube.jpg
14003,18,16.2,0.9,0,0.13,die_profile_images/.net_data/72209ca2-a3ef-4057-b542-b5c69ec35349_round tube.jpg
14004,14.8,8.3,3.25,0,0.318,die_profile_images/.net_data/b603dfc6-1c26-4a31-ba5a-0dbdfd10753c_round tube.jpg
14005,19,5.5,6.75,0,0.7,die_profile_images/.net_data/996cb664-66ae-4a89-a582-a1404f77243c_round tube.jpg
14006,22,12,5,0,0.72,die_profile_images/.net_data/c448e298-6004-4dbc-ab8a-f08a6e26e219_round tube.jpg
14007,14,8.6,2.7,0,0.258,die_profile_images/.net_data/ce4dbb9a-cdc4-4684-825c-b0b8fa42cd5d_round tube.jpg
14008,12.7,7.6,2.55,0,0.219,die_profile_images/.net_data/49c16136-c042-48fe-9c20-207a659bd6fe_round tube.jpg
14009,19.04,12.2,3.42,0,0.453,die_profile_images/.net_data/3b131b2b-a5d8-4fef-9eb4-aaea2d2334db_round tube.jpg
14010,16,14,1,0,0.127,die_profile_images/.net_data/7b418dbe-2d46-49b8-ae48-ffc0b35a51bf_round tube.jpg
14011,19.1,12.74,3.18,0,0.429,die_profile_images/.net_data/7edfadf0-1b8c-4865-b45c-5ab144e92ad4_round tube.jpg
14012,32,15,8.5,0,1.694,die_profile_images/.net_data/d184010f-7be9-4f92-88e1-0cdcd61b37cc_round tube.jpg
14013,9.6,7.2,1.2,0,0.085,die_profile_images/.net_data/648a2783-e3e4-4622-98fc-80d8cbb38b50_round tube.jpg
14014,8,3,2.5,0,0.116,die_profile_images/.net_data/c0ffc575-7bc5-4988-9500-8ce18f10dd50_round tube.jpg
14015,22,14.2,3.9,0,0.598,die_profile_images/.net_data/114bc9ad-7ff8-4bb3-82da-594247c4ab48_round tube.jpg
14016,31.8,29.8,1,0,0.261,die_profile_images/.net_data/04b63868-4d87-44ba-9303-3a9aafe998b6_14016.jpg
14017,21,15.4,2.8,0,0.432,die_profile_images/.net_data/3e531189-b727-422b-8a28-dcb0e5987bab_round tube.jpg
14018,16,13,1.5,0,0.184,die_profile_images/.net_data/8b4a9619-e6e1-4c5f-94da-aff41a18d65f_round tube.jpg
14019,38.1,31.75,3.18,0,0.94,die_profile_images/.net_data/2d27dad1-308a-422f-ae3e-044bcff95839_ROUND TUBE.jpg
14020,25.4,19.1,3.15,0,0.594,die_profile_images/.net_data/18fd1607-884c-4e62-98e6-32c5c5f3e4f1_round tube.jpg
14021,24,20.74,1.63,0,0.336,die_profile_images/.net_data/523b9619-de77-48e5-91b3-8b342847fec4_round tube.jpg
14022,16,13.5,1.2,0,0.156,die_profile_images/2022/09/02/104119/round_tube.jpg
14023,18,15,1.5,0,0.209,die_profile_images/2021/05/21/040205/14023.jpg
14024,31.8,27.4,2.2,0,0.543,die_profile_images/2021/07/12/125817/round_tube.jpg
14025,19,15,2,0,0.288,die_profile_images/2022/03/15/040401/round_tube.jpg
14026,12.65,7,2.83,0,0.265,die_profile_images/2022/03/24/044915/round_tube.jpg
14027,16,6,5,0,0.466,die_profile_images/2022/03/24/045107/round_tube.jpg
14028,9.6,5,2.3,0,0.141,die_profile_images/2022/08/24/052312/round_tube.jpg
14029,12.7,4,4.35,0,0.308,die_profile_images/2022/12/27/041220/14029.jpg
14030,20,17.5,1.25,0,0.18,die_profile_images/2023/05/08/035016/14030.jpg
